id,comb,user,data,descrip,cite,query,topics
175,Artefactual evidence for fishing,Gísli Pálsson,new_units_finds_iceland,Artefactual evidence for fishing,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.finds.find_interpretation"" : ""Fish hook"" }, { ""properties.finds.find_interpretation"" : ""Fish Hammer"" }, { ""properties.finds.find_interpretation"" : ""Net Sinker"" }] }] }, Fields: { }, Sort: { }","humans , fish , port , still water , sea , fishing , Aquatics "
166,Artefactual evidence for gaming and play,Gísli Pálsson,new_units_finds_iceland,Artefactual evidence for gaming and play,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.finds.find_interpretation"" : ""Gaming Piece"" }, { ""properties.finds.find_interpretation"" : ""Doll"" }] }] }, Fields: { }, Sort: { }","humans , socializing , meeting "
155,Leather artefacts,Gísli Pálsson,new_units_finds_iceland,Leather artefacts,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$and"" : [{ ""properties.finds.find_material"" : ""Leather"" }] }] }, Fields: { }, Sort: { }","humans , animal , cow , caribou , livestock , domestic animal , butchery , animal husbandry "
169,Artefactual evidence for cultivation,Gísli Pálsson,new_units_finds_iceland,Artefactual evidence for cultivation,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.finds.find_interpretation"" : ""Awl"" }, { ""properties.finds.find_interpretation"" : ""Scythe"" }] }] }, Fields: { }, Sort: { }","humans , agricultural landscape , grasses , cultivation / farming "
176,Artefacts from domestic house excavations,Gísli Pálsson,new_units_finds_iceland,Artefacts from domestic house excavations,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$and"" : [{ ""properties.project"" : ""Sveigakot"" }, { ""properties.project"" : ""Hornbrekka"" }] }] }, Fields: { }, Sort: { }","humans , built environment , building , farm , independent farm , tenant farm , church farm , family , socializing , communal building "
170,Artefacts from midden excavations,Gísli Pálsson,new_units_finds_iceland,Artefacts from midden excavations,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.project"" : ""Skútustaðir"" }, { ""properties.project"" : ""Eyri"" }] }] }, Fields: { }, Sort: { }","humans , midden assemblage , consumption "
156,Artefactual evidence for grain grinding,Gísli Pálsson,new_units_finds_iceland,"Evidence for grain grinding, usually associated with flour production and bread making",,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$and"" : [{ ""properties.finds.find_interpretation"" : ""Quernstone"" }] }] }, Fields: { }, Sort: { }","plants , food preparation , resources , production "
177,Silver artefacts,Gísli Pálsson,new_units_finds_iceland,Silver artefacts,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$and"" : [{ ""properties.finds.find_material"" : ""Silver"" }] }] }, Fields: { }, Sort: { }","humans , production "
157,Plastic finds,Gísli Pálsson,new_units_finds_iceland,Plastic finds,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$and"" : [{ ""properties.finds.find_material"" : ""Plastic"" }] }] }, Fields: { }, Sort: { }","humans , production "
171,Artefactual evidence for food preparation and consumption,Gísli Pálsson,new_units_finds_iceland,Artefactual evidence for food preparation and consumption,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.finds.find_interpretation"" : ""Cauldron"" }, { ""properties.finds.find_interpretation"" : ""Cutlery"" }, { ""properties.finds.find_interpretation"" : ""Stove"" }, { ""properties.finds.find_interpretation"" : ""Spoon"" }, { ""properties.finds.find_interpretation"" : ""Baking Plate"" }] }] }, Fields: { }, Sort: { }","humans , food preparation , consumption , health , food "
178,Artefactual evidence for metalworking,Gísli Pálsson,new_units_finds_iceland,Artefactual evidence for metalworking,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$and"" : [{ ""properties.finds.find_interpretation"" : ""Metalworking Waste"" }, { ""properties.finds.find_interpretation"" : ""Slag"" }] }] }, Fields: { }, Sort: { }","humans , things , metal vessel , resources , production "
172,Artefacts from excavations of church structures and church farms,Gísli Pálsson,new_units_finds_iceland,Artefacts from excavations of church structures and church farms,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.project"" : ""Neðri-Ás"" }, { ""properties.project"" : ""Skálholt"" }] }] }, Fields: { }, Sort: { }","church farm , Ecclesiastical Power , whole church , half church , bishop's church "
158,Bone finds,Gísli Pálsson,new_units_finds_iceland,Bone finds. These are all finds made of bone recorded in the artefact database Grefill.  Some are unworked; the results would improve by adding a 'Does not contain' option to the query tool.,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$and"" : [{ ""properties.finds.find_material"" : ""Bone"" }] }] }, Fields: { }, Sort: { }","humans , sheep , animal , bone , butchery , production "
179,Artefacts from burial excavations,Gísli Pálsson,new_units_finds_iceland,Artefacts from burial excavations,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.project"" : ""Ingiríðastaðir"" }, { ""properties.project"" : ""Litlu-Núpar"" }, { ""properties.project"" : ""Dysnes"" }, { ""properties.project"" : ""Kumlabrekka"" }] }] }, Fields: { }, Sort: { }","humans , interred animal , burial "
159,Metal artefacts,Gísli Pálsson,new_units_finds_iceland,Metal artefacts,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.finds.find_material"" : ""Metal"" }, { ""properties.finds.find_material"" : ""Iron"" }, { ""properties.finds.find_material"" : ""Copper alloy"" }, { ""properties.finds.find_material"" : ""Silver"" }, { ""properties.finds.find_material"" : ""Aluminium"" }, { ""properties.finds.find_material"" : ""Lead"" }] }] }, Fields: { }, Sort: { }","humans , metal vessel , production "
180,Unit descriptions commonly associated with burial evidence.,Gísli Pálsson,new_units_finds_iceland,Excavation evidence for burials,Descriptive archaeological practice,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.unit_description"" : { ""$regex"" : ""grave "", ""$options"" : ""m"" } }, { ""properties.interpretation"" : { ""$regex"" : ""Grave"", ""$options"" : ""m"" } }, { ""properties.interpretation"" : ""Grave fill"" }] }] }, Fields: { }, Sort: { }","humans , burial "
160,Ceramic artefacts,Gísli Pálsson,new_units_finds_iceland,Ceramic artefacts,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$and"" : [{ ""properties.finds.find_material"" : ""Ceramic"" }] }] }, Fields: { }, Sort: { }","ceramic vessel , production "
181,Hearth units,Gísli Pálsson,new_units_finds_iceland,Excavations of hearths and fireplaces,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.group_description"" : { ""$regex"" : "" fireplace"", ""$options"" : ""m"" } }, { ""properties.group_description"" : { ""$regex"" : ""hearth"", ""$options"" : ""m"" } }] }] }, Fields: { }, Sort: { }","shared spaces , building , meeting "
161,Stone and other mineral artefacts,Gísli Pálsson,new_units_finds_iceland,Stone and other mineral artefacts,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.finds.find_material"" : ""Steatite"" }, { ""properties.finds.find_material"" : ""Schist"" }, { ""properties.finds.find_material"" : ""Stone"" }, { ""properties.finds.find_material"" : ""Mineral"" }, { ""properties.finds.find_material"" : ""Basalt"" }] }] }, Fields: { }, Sort: { }","humans , production "
46,Insect indicators of mould,Philip Buckland,sead,Mould beetles generally feed on mould.,"Mould beetles generally feed on mould, and are common in damp or dark storage areas, granaries, lofts and similar environments.","Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.mould_beetles"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }",Mouldy area 
3,Marine Mammal Test,null Strawhacker,orkneyfauna,marine mammal less than 2%,Colleen knows nothing.,"Query: { ""$and"" : [{ ""source"" : ""orkneyfauna"" }, { ""$and"" : [{ ""properties."" : 2.0 }] }] }, Fields: { }, Sort: { }",
127,Environmental change due to flooding,Gísli Pálsson,enviro_threats_icelandic_sites,Environmental change due to flooding,,"Query: { ""$and"" : [{ ""source"" : ""enviro_threats_icelandic_sites"" }, { ""$and"" : [{ ""properties.en_lookup_environmental_agents"" : ""water"" }] }] }, Fields: { }, Sort: { }","erosion , land degredation , weather , storminess "
36,Ectoparasites,Philip Buckland,sead,External parasites of people or animals,"Organisms which are external parasites of people or other animals, generally feeding on the blood, skin, fur or oils of the host.","Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.ectoparasite"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","humans , animal , animal husbandry , health "
10,Insect indicators for standing water,Adam Brin,sead,"Insects which indicate standing water, rather than running water.","Presence of water beetles with their primary habitat in standing water (e.g. lakes, puddles). Individual species may indicate type of substrait (lake bed), such as gravelly, sandy and/or water depth, or vegetation amount and type.","Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.indicators_standing_water"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","linear ditch , still water , Aquatics , Standing water "
13,Potential insect evidence for dung,Philip Buckland,sead,"Potential insect evidence for dung, but some species could be attracted to environments which are similar to dung (foul stuff).",,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$or"" : [{ ""properties.indicators.dungfoul_habitats"" : { ""$gt"" : 0.0 } }, { ""properties.indicators.indicators_dung"" : { ""$gt"" : 0.0 } }, { ""properties.indicators.pasturedung"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }",
19,Insect data available,Philip Buckland,sead,Selecting this filters results to where insect data are available (any at all) through SEAD.,Select all datasets which include insect data from SEAD (www.sead.se),"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.sampledata.site_id"" : { ""$gt"" : 1.0 } }] }] }, Fields: { }, Sort: { }",insects 
38,Insect indicators of heathland or moorland,Adam Brin,sead,Insects living in the type of vegetation and environment of heathland or moorland,Heathland or moorland as indicated by insects which require these type of vegetation and environment. Look also at aquatic habitat indications to see if these are wet rather than dry.,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.heathland__moorland"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","moorland , heathland , Heathland and moorland "
89,Activities: travel,Trausti Dagsson,sagas,Activities: travel,,"Query: { ""$and"" : [{ ""source"" : ""sagas"" }, { ""$or"" : [{ ""properties.concept"" : ""Activities: travel"" }] }] }, Fields: { }, Sort: { }",travel 
33,Insect indicators of disturbed ground or arable land,Philip Buckland,sead,Insects which indicate disturbed ground or arable land,"Insects which prefer disturbed ground, which could indicate arable land or natural disturbance processes","Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.disturbedarable"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","agricultural landscape , erosion , Disturbed or arable , cultivation / farming "
75,Insect indications of dry dead wood,Philip Buckland,sead,Insect indications of dry dead wood.,,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.dry_dead_wood"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }",wood 
37,Halotolerant insects,Philip Buckland,sead,Insects which can tolerate higher than usual levels of mineral salts,"Insects which can tolerate higher than usual levels of mineral salts. These may be sea salt or other salts, such as those ploughed up in fields or otherwise created by natural processes.","Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.halotolerant"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }",salty areas 
21,Radiocarbon dated SEAD sample,Adam Brin,sead,Samples in SEAD dated through radiocarbon dating.,,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.sampledata.dating_type"" : ""Calibrated radiocarbon dates"" }] }] }, Fields: { }, Sort: { }",radiocarbon 
20,Insect indicators for people,Adam Brin,sead,Insect species generally associated with human activity.,,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.general_synanthropic"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }",live human 
41,Insect indicators of coniferous trees,Philip Buckland,sead,Insect which require coniferous trees for survival.,Coniferous trees as indicated by the species which require them for survival.,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.indicators_coniferous"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }",Coniferous Trees 
34,Insect indicators of foul conditions or dung,Philip Buckland,sead,"Insect indicators of foul conditions, mud or runny dung ","Insect indicators of foul conditions, mud or runny dung. Usually these are attracted to the nature of the material rather than the type.","Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.dungfoul_habitats"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","Meadowland , Dung or foul habitats "
35,Insect indicators of foul conditions or dung,Philip Buckland,sead,"Insect indicators of foul conditions, mud or runny dung ","Insect indicators of foul conditions, mud or runny dung. Usually these are attracted to the nature of the material rather than the type.","Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.dungfoul_habitats"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }",Dung or foul habitats 
43,Definite insect indication of dung,Philip Buckland,sead,Presence of obligate dung beetles,Species of insect which are completely dependent on dung for their lifecycles,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.indicators_dung"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","animal , Dung "
42,Definite insect indication of dung,Philip Buckland,sead,Presence of obligate dung beetles,Species of insect which are completely dependent on dung for their lifecycles,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.indicators_dung"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","animal , Dung "
44,Insect indicators of deciduous trees,Philip Buckland,sead,Insect species dependent on some aspect of deciduous trees,The definite presence of deciduous trees or wood in the area as indicated by insect species which are dependent on them for their lifecycles,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.indicators_deciduous"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }",Deciduous Trees 
48,Insect indicators of running water,Philip Buckland,sead,"Insect indicators of running or flowing/moving, rather than standing water. E.g. streams or rivers.","Insect indicators of running or flowing/moving, rather than standing water. E.g. streams or rivers. Individual species may help identify the type of substrait or stream/river bed, whether it is sandy, gravelly or vegetated etc.","Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.indicators_running_water"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","moving water , river , stream , Aquatics , Running water "
26,Insects in dry dead wood,Adam Brin,sead,"Dry dead wood suggests the presence of understory in a forest environment, or wood stored intentionally",TBD,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.dry_dead_wood"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }",deciduous unmanaged forest 
31,Insect indicators of disturbed ground or arable land,Adam Brin,sead,Insects which indicate disturbed ground or arable land,"Insects which prefer disturbed ground, which could indicate arable land or natural disturbance processes","Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.disturbedarable"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","agricultural landscape , erosion , Disturbed or arable , cultivation / farming "
24,Insect indicators of carrion,Adam Brin,sead,"Insect indicators of dead animals - could be meat, skin or bones, or perhaps even the runny created as things decay.",,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.carrion"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","mammal , animal , vellum , butchery , Carrion , Carrion "
22,Insect grain indicators,Adam Brin,sead,Insect pest of stored grain may act as proxies for the storage of grain even if no grain is found.,,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.stored_grain_pest"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","garden plot , insects , insects , grain store , grain store , plants , plants , Stored grain "
40,Insect indicators of coniferous trees,Philip Buckland,sead,Insect which require coniferous trees for survival.,Coniferous trees as indicated by the species which require them for survival.,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.indicators_coniferous"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }",Coniferous Trees 
69,Potential insect evidence for dung,Adam Brin,sead,"Potential insect evidence for dung, but some species could be attracted to environments which are similar to dung (foul stuff). ",,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$or"" : [{ ""properties.indicators.dungfoul_habitats"" : { ""$gt"" : 0.0 } }, { ""properties.indicators.indicators_dung"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }",Dung 
14,Insect indicators of farming,Adam Brin,sead,Insects indicating disturbed ground and/or dung in an open environment could indicate farming.,,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$or"" : [{ ""properties.indicators.sandydry_disturbedarable"" : { ""$gt"" : 0.0 } }, { ""properties.indicators.disturbedarable"" : { ""$gt"" : 0.0 } }, { ""properties.indicators.pasturedung"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","managed landscape area , farm , land management , production "
25,Synanthropic insects (associated with humans),Adam Brin,sead,"Insects which are commonly found in human created contexts, such as buildings which are warmer than the surrounding environment, or stored products, or parasites etc.",,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.general_synanthropic"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","agricultural building , building , barn , grain store , hutch , farm , animal husbandry , cultivation / farming "
45,Potential insect indicators of wood or trees,Philip Buckland,sead,Insects commonly associated with wood and/or trees.,"Insects associated with wood and/or trees may indicated woodland, or the type of environment inherent in a woodland (shaded, relatively humid). They do not necessarily mean woodland, but may help identify its presence along with other lines of evidence.","Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.wood_and_trees"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","trees , Wood and trees "
11,Insect indications of animals,Adam Brin,sead,"Insects indicating either dung or carrion indicate the presence of animals, or the waste products from animals in the area.","Insects indicating either dung or carrion indicate the presence of animals, or the waste products from animals in the area.","Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$or"" : [{ ""properties.indicators.dungfoul_habitats"" : { ""$gt"" : 0.0 } }, { ""properties.indicators.carrion"" : { ""$gt"" : 0.0 } }, { ""properties.indicators.indicators_dung"" : { ""$gt"" : 0.0 } }, { ""properties.indicators.pasturedung"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }",animal 
8,Insect indicators of fresh water (i.e. not seawater),Adam Brin,sead,Insects which indicate the close proximity of fresh water (not seawater).,Water beetles indicate the presence of fresh water in the area. Water quality may be indicated by specific species (i.e. the water may be stagnant or clean).,"Query: { ""$and"" : [{ ""source"" : ""sead"" }, { ""$and"" : [{ ""properties.indicators.aquatics"" : { ""$gt"" : 0.0 } }] }] }, Fields: { }, Sort: { }","moving water , Running water , Open wet habitats "
12,Whales ,Adam Brin,orkneyfauna,Whales,Citations TBA; query will isolate sites in LIA / Viking transition with whale remains (worked / waste),"Query: { ""$and"" : [{ ""source"" : ""orkneyfauna"" }, { ""$and"" : [{ ""properties.percent_marine_mammal"" : { ""$gt"" : 0.0 } }, { ""properties.period"" : { ""$regex"" : ""Viking/Norse"", ""$options"" : ""m"" } }, { ""properties.period"" : { ""$regex"" : ""LIA 2"", ""$options"" : ""m"" } }] }] }, Fields: { }, Sort: { }","managed landscape area , whale / dolphin , beached whale "
5,We have Pigs,Adam Brin,orkneyfauna,Pigs are present,zooarchaeology basics,"Query: { ""$and"" : [{ ""source"" : ""orkneyfauna"" }, { ""$and"" : [{ ""properties.nisp"" : { ""$gt"" : 1.0 } }, { ""properties.percentpig"" : { ""$gt"" : 1.0 } }] }] }, Fields: { }, Sort: { }","agricultural landscape , livestock , stories , butchery , Pasture/Dung "
9,Sheep 50.12-57.28,Adam Brin,orkneyfauna,Sheep 50.12-57.28,,"Query: { ""$and"" : [{ ""source"" : ""orkneyfauna"" }, { ""$and"" : [{ ""properties.percent_sheepgoat"" : { ""$gt"" : 50.119998931884766 } }, { ""properties.percent_sheepgoat"" : { ""$lt"" : 57.279998779296875 } }] }] }, Fields: { }, Sort: { }",sheep 
84,Marine resource dominant,Rachel Opitz,orkneyfauna,A preponderance of marine mammal would indicate a greater reliance on or interest in these resources than available terrestrial ones.,"Schulting, R., Tresset, A., & Dupont, C. (2004). From harvesting the sea to stock rearing along the Atlantic façade of north-west Europe. Environmental Archaeology, 9(2), 143-154.","Query: { ""$and"" : [{ ""source"" : ""orkneyfauna"" }, { ""$and"" : [{ ""$where"" : ""this.properties.percent_marine_mammal > this.properties.percent_terrestrial_mammal"" }] }] }, Fields: { }, Sort: { }","humans , animal , butchery , hunting , consumption , animal husbandry , production "
80,Cattle to Vellum,Rachel Opitz,orkneyfauna,The presence of cattle suggests the possibility for the production of a variety of products including vellum. We expect the manufacture of this material to concentrate in the Medieval period.,"Carver, M. (2001). Why that? Why there? Why then? The politics of early medieval monumentality. Image and power in the archaeology of early medieval Britain: Essays in honour of Rosemary Cramp, 1-22.  Clement, R. W. (1997). Medieval and Renaissance book production.","Query: { ""$and"" : [{ ""source"" : ""orkneyfauna"" }, { ""$and"" : [{ ""properties.percent_cattle"" : { ""$gt"" : 0.0 } }, { ""properties.end"" : { ""$lt"" : 1600.0 } }, { ""properties.start"" : { ""$gt"" : 950.0 } }] }] }, Fields: { }, Sort: { }",vellum 
85,Mixed livestock economy,Rachel Opitz,orkneyfauna,The presence of multiple domestic animal species suggests a mixed economy rather than dependence on a single species. ,"O'Connor, T. (2010). Livestock and deadstock in early medieval Europe from the North Sea to the Baltic. Environmental Archaeology, 15(1), 1-15.  McGovern, T. H., Vésteinsson, O., Fri?riksson, A., Church, M., Lawson, I., Simpson, I. A., ... & Edwards, K. J. (2007). Landscapes of settlement in northern Iceland: Historical ecology of human impact and climate fluctuation on the millennial scale. American Anthropologist, 109(1), 27-51.","Query: { ""$and"" : [{ ""source"" : ""orkneyfauna"" }, { ""$and"" : [{ ""properties.percent_avian"" : { ""$gt"" : 5.0 } }, { ""properties.percent_cattle"" : { ""$gt"" : 5.0 } }, { ""properties.percentpig"" : { ""$gt"" : 5.0 } }] }] }, Fields: { }, Sort: { }","managed landscape area , agricultural landscape , pasture , livestock , exchange , animal husbandry , risk , resources , production , grazing "
112,Land degradation,Gísli Pálsson,enviro_threats_icelandic_sites,Land degradation,jardabok.com,"Query: { ""$and"" : [{ ""source"" : ""enviro_threats_icelandic_sites"" }, { ""$and"" : [{ ""properties.en_lookup_resource_change"" : ""rapidly decreasing"" }] }] }, Fields: { }, Sort: { }","managed landscape area , agricultural landscape , landscape change , erosion , land degredation , woodland decline "
